               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.026371,            0.044179,                   0,             0.82913,             0.76504,             0.86319,             0.57527,            0.037085,            0.076032,                   0,           0.0024195,           0.0024195,           0.0024195
                  39,            0.026542,            0.045541,                   0,             0.83609,             0.77502,             0.86732,             0.58842,            0.036219,            0.070807,                   0,           0.0022196,           0.0022196,           0.0022196
                  40,            0.026167,            0.041786,                   0,             0.92743,             0.74048,              0.8834,             0.60343,            0.035688,            0.068844,                   0,           0.0020327,           0.0020327,           0.0020327
                  41,            0.026244,            0.043747,                   0,             0.86396,             0.76504,             0.88442,             0.60338,            0.035789,             0.06972,                   0,           0.0018594,           0.0018594,           0.0018594
                  42,            0.025837,            0.042625,                   0,             0.87255,             0.74136,             0.86856,             0.58171,            0.036414,            0.072533,                   0,           0.0017005,           0.0017005,           0.0017005
                  43,            0.025467,             0.04291,                   0,             0.85291,             0.76528,              0.8734,             0.57903,            0.036357,            0.072385,                   0,           0.0015566,           0.0015566,           0.0015566
                  44,            0.025307,            0.043272,                   0,             0.88888,             0.75813,             0.88137,             0.58838,            0.036242,            0.069073,                   0,           0.0014283,           0.0014283,           0.0014283
                  45,            0.024778,             0.04131,                   0,              0.8636,             0.77388,             0.88672,              0.5902,            0.035995,            0.069934,                   0,            0.001316,            0.001316,            0.001316
                  46,            0.025329,             0.04348,                   0,             0.88036,             0.71922,             0.86789,             0.57005,            0.036887,            0.076264,                   0,           0.0012202,           0.0012202,           0.0012202
                  47,            0.025029,            0.041205,                   0,             0.90521,             0.72985,             0.87688,               0.573,            0.036953,            0.073815,                   0,           0.0011414,           0.0011414,           0.0011414
                  48,            0.025085,            0.041182,                   0,             0.85022,             0.76927,             0.87938,             0.57848,            0.036673,            0.073855,                   0,           0.0010797,           0.0010797,           0.0010797
                  49,            0.025107,            0.041137,                   0,             0.89068,             0.72896,             0.87475,             0.58164,            0.036524,            0.073669,                   0,           0.0010355,           0.0010355,           0.0010355
